Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
KY,Hex,9,36,% shift to the left,,,ü,Jimmy Carter,A,,Left,0,,52.8,18,244558,9,297,JIMMY CARTER,Gerald R. Ford,50.1%,615717,40830763,6.5,4,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",28.6,R,63.4,1,-10,-7.2,45.6,-17.8,-144594,,240,GERALD R. FORD, ,48.0%,531852,39147793,South,4,-35.8,0.5,6,,Kentucky,,Kentucky,D,1167142,81555889,-52.8,D,1976
WV,Hex,6,43,% shift to the left,,,ü,Jimmy Carter,B,,Left,0,,58.0,21.6,158479,6,297,JIMMY CARTER,Gerald R. Ford,50.1%,435914,40830763,7.5,4,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",27.2,R,63.6,1,-20,-16.1,41.9,-21.7,-170204,,240,GERALD R. FORD, ,48.0%,314760,39147793,South,4,-43.3,0.5,7,,West Virginia,,West Virginia,D,750964,81555889,-58,D,1976
MD,Hex,10,30,% shift to the left,,,ü,Jimmy Carter,A,,Left,0,,52.8,15.4,253831,10,297,JIMMY CARTER,Gerald R. Ford,50.1%,759612,40830763,8.5,4,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",23.9,R,61.3,1,-10,-6.100000000,46.7,-14.6,-156644,,240,GERALD R. FORD, ,48.0%,672661,39147793,South,4,-30.0,0.5,9,,Maryland,,Maryland,D,1439897,81555889,-52.8,D,1976
AR,Hex,6,68,% shift to the left,,,ü,Jimmy Carter,D,,Left,0,,65.0,34.3,298712,6,297,JIMMY CARTER,Gerald R. Ford,50.1%,498604,40830763,6,5,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",38.2,R,68.9,1,-35,-30.1,34.9,-34,-180638,,240,GERALD R. FORD, ,48.0%,267903,39147793,South,5,-68.3,0.5,5,,Arkansas,,Arkansas,D,767535,81555889,-65,D,1976
TN,Hex,10,51,% shift to the left,,,ü,Jimmy Carter,B,,Left,0,,55.9,26.2,468586,10,297,JIMMY CARTER,Gerald R. Ford,50.1%,825879,40830763,7,5,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",38,R,67.7,1,-15,-13,42.9,-24.8,-179178,,240,GERALD R. FORD, ,48.0%,633969,39147793,South,5,-51.0,0.5,6,,Tennessee,,Tennessee,D,1476345,81555889,-55.9,D,1976
NC,Hex,13,52,% shift to the left,,,ü,Jimmy Carter,B,,Left,0,,55.2,26.3,488660,13,297,JIMMY CARTER,Gerald R. Ford,50.1%,927365,40830763,9,5,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",40.6,R,69.5,1,-15,-11,44.2,-25.3,-312929,,240,GERALD R. FORD, ,48.0%,741960,39147793,South,5,-51.6,0.5,7,,North Carolina,,North Carolina,D,1678914,81555889,-55.2,D,1976
SC,Hex,8,56,% shift to the left,,,ü,Jimmy Carter,B,,Left,0,,56.2,28.5,263983,8,297,JIMMY CARTER,Gerald R. Ford,50.1%,450807,40830763,8.5,6,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",43.1,R,70.8,1,-15,-13.1,43.1,-27.7,-130895,,240,GERALD R. FORD, ,48.0%,346149,39147793,South,5,-56.2,0.5,8,,South Carolina,,South Carolina,D,802583,81555889,-56.2,D,1976
LA,Hex,10,43,% shift to the left,,,ü,Jimmy Carter,A,,Left,0,,51.7,23.3,363223,10,297,JIMMY CARTER,Gerald R. Ford,50.1%,661365,40830763,5.5,6,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",36.9,R,65.3,1,-10,-5.7,46.0,-19.3,-99406,,240,GERALD R. FORD, ,48.0%,587446,39147793,South,6,-42.6,0.5,5,,Louisiana,,Louisiana,D,1278439,81555889,-51.7,D,1976
MS,Hex,7,61,% shift to the left,,,ü,Jimmy Carter,A,,Left,0,,49.6,30,254527,7,297,JIMMY CARTER,Gerald R. Ford,50.1%,381309,40830763,6.5,6,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",58.6,R,78.2,1,-5,-1.9,47.7,-30.5,-138279,,240,GERALD R. FORD, ,48.0%,366846,39147793,South,6,-60.5,0.5,6,,Mississippi,,Mississippi,D,769361,81555889,-49.6,D,1976
AL,Hex,9,60,% shift to the left,,,ü,Jimmy Carter,B,,Left,0,,55.7,30.2,402247,9,297,JIMMY CARTER,Gerald R. Ford,50.1%,659170,40830763,7.5,6,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",46.9,R,72.4,1,-15,-13.1,42.6,-29.8,-224631,,240,GERALD R. FORD, ,48.0%,504070,39147793,South,6,-60.0,0.5,7,,Alabama,,Alabama,D,1182850,81555889,-55.7,D,1976
GA,Hex,12,84,% shift to the left,,,ü,Jimmy Carter,D,,Left,0,,66.7,42.1,689880,12,297,JIMMY CARTER,Gerald R. Ford,50.1%,979409,40830763,8,7,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",50.4,R,75,1,-35,-33.7,33.0,-42,-397753,,240,GERALD R. FORD, ,48.0%,483743,39147793,South,6,-84.1,0.5,8,,Georgia,,Georgia,D,1467458,81555889,-66.7,D,1976
TX,Hex,26,36,% shift to the left,,,ü,Jimmy Carter,A,,Left,0,,51.1,17.8,928030,26,297,JIMMY CARTER,Gerald R. Ford,50.1%,2082319,40830763,4,7,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",32.9,R,66.2,1,-5,-3.1,48.0,-18.2,-345596,,240,GERALD R. FORD, ,48.0%,1953300,39147793,South,7,-36.0,0.5,4,,Texas,,Texas,D,4071884,81555889,-51.1,D,1976
FL,Hex,17,49,% shift to the left,,,ü,Jimmy Carter,A,,Left,0,,51.9,24.1,917883,17,297,JIMMY CARTER,Gerald R. Ford,50.1%,1636000,40830763,8.5,8,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",44.1,R,71.9,1,-10,-5.3,46.6,-25.3,-388228,,240,GERALD R. FORD, ,48.0%,1469531,39147793,South,7,-49.4,0.5,9,,Florida,,Florida,D,3150631,81555889,-51.9,D,1976
HI,Hex,4,28,% shift to the left,,,ü,Jimmy Carter,A,,Left,0,,50.6,13.1,45966,4,297,JIMMY CARTER,Gerald R. Ford,50.1%,147375,40830763,-0.5,5,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",25,R,62.5,1,-5,-2.5,48.1,-14.4,-28862,,240,GERALD R. FORD, ,48.0%,140003,39147793,West,7,-27.5,0.5,1,,Hawaii,,Hawaii,D,291301,81555889,-50.6,D,1976
ND,Hex,3,21,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,45.8,10,35694,,297,JIMMY CARTER,Gerald R. Ford,50.1%,136078,40830763,3.5,2,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",26.3,R,62.1,1,5,5.8,51.6,-10.5,-20639,3,240,GERALD R. FORD, ,48.0%,153470,39147793,Midwest,2,-20.5,0.5,4,North Dakota,,,North Dakota,R,297188,81555889,51.6,D,1976
MI,Hex,21,9,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,46.4,4.6,237279,,297,JIMMY CARTER,Gerald R. Ford,50.1%,1696714,40830763,7.5,2,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",14.4,R,56.2,1,5,5.4,51.8,-4.400000000,-67979,21,240,GERALD R. FORD, ,48.0%,1893742,39147793,Midwest,2,-9.0,0.5,8,Michigan,,,Michigan,R,3653749,81555889,51.8,D,1976
IL,Hex,26,17,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,48.1,7.6,357823,,297,JIMMY CARTER,Gerald R. Ford,50.1%,2271295,40830763,6,3,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",18.5,R,59,1,0,2,50.1,-8.9,-423910,26,240,GERALD R. FORD, ,48.0%,2364269,39147793,Midwest,2,-16.5,0.5,6,Illinois,,,Illinois,R,4718914,81555889,50.1,D,1976
SD,Hex,4,7,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,48.9,3.4,7123,,297,JIMMY CARTER,Gerald R. Ford,50.1%,147068,40830763,4,3,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",8.7,R,54.2,1,0,1.5,50.4,-3.8,-14971,4,240,GERALD R. FORD, ,48.0%,151505,39147793,Midwest,3,-7.2,0.5,4,South Dakota,,,South Dakota,R,300678,81555889,50.4,D,1976
IA,Hex,8,16,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,48.5,8,123725,,297,JIMMY CARTER,Gerald R. Ford,50.1%,619931,40830763,5,3,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",17.1,R,57.6,1,0,1,49.5,-8.1,-73344,8,240,GERALD R. FORD, ,48.0%,632863,39147793,Midwest,3,-16.1,0.5,5,Iowa,,,Iowa,R,1279306,81555889,49.5,D,1976
IN,Hex,13,25,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,45.7,12.4,306146,,297,JIMMY CARTER,Gerald R. Ford,50.1%,1014714,40830763,7,3,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",32.8,R,66.1,1,5,7.600000000,53.3,-12.8,-221196,13,240,GERALD R. FORD, ,48.0%,1183958,39147793,Midwest,3,-25.2,0.5,6,Indiana,,,Indiana,R,2220362,81555889,53.3,D,1976
NE,Hex,5,20,% shift to the left,,,ü,Jimmy Carter,H,,Left,0,,38.5,9,63701,,297,JIMMY CARTER,Gerald R. Ford,50.1%,233692,40830763,4.5,4,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",41,R,70.5,1,20,20.7,59.2,-11.3,-46593,5,240,GERALD R. FORD, ,48.0%,359705,39147793,Midwest,4,-20.3,0.5,4,Nebraska,,,Nebraska,R,607668,81555889,59.2,D,1976
KS,Hex,7,31,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,44.9,15.4,160134,,297,JIMMY CARTER,Gerald R. Ford,50.1%,430421,40830763,5,5,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",38.2,R,67.7,1,5,7.6,52.5,-15.2,-117060,7,240,GERALD R. FORD, ,48.0%,502752,39147793,Midwest,5,-30.6,0.5,4,Kansas,,,Kansas,R,957845,81555889,52.5,D,1976
