Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip 䄏,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
RI,Hex,4,,,,,,Hillary Clinton,,,,0,,55.4,,,4,227,Hillary Clinton,Donald Trump,48.20%,252525,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-27.5,D,-62.7,1,-30,-15.6,39.8,,,,304,Donald Trump, ,46.10%,180543,62985106,Northeast,2,,-0.5,10,,Rhode Island,,Rhode Island,D,464144,136628459,,R,2016
MA,Hex,11,,,,,,Hillary Clinton,,,,0,,60.8,,,11,227,Hillary Clinton,Donald Trump,48.20%,1995196,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-23.2,D,-60.7,1,-25,-27.3,33.5,,,,304,Donald Trump, ,46.10%,1090893,62985106,Northeast,2,,-0.5,11,,Massachusetts,,Massachusetts,D,3325046,136628459,,R,2016
PA,Hex,20,,,,,,Hillary Clinton,,,,0,,47.6,,,,227,Hillary Clinton,Donald Trump,48.20%,2926441,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-5.4,D,-52.1,1,-10,1.2,48.8,,,20,304,Donald Trump, ,46.10%,2970733,62985106,Northeast,3,,-0.5,8,Pennsylvania,,,Pennsylvania,R,6165478,136628459,,R,2016
NJ,Hex,14,,,,,,Hillary Clinton,,,,0,,55,,,14,227,Hillary Clinton,Donald Trump,48.20%,2148278,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-17.7,D,-58.3,1,-20,-13.2,41.8,,,,304,Donald Trump, ,46.10%,1601933,62985106,Northeast,3,,0.5,9,,New Jersey,,New Jersey,D,3874046,136628459,,R,2016
CT,Hex,7,,,,,,Hillary Clinton,,,,0,,54.5,,,7,227,Hillary Clinton,Donald Trump,48.20%,897572,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-17.4,D,-58.1,1,-20,-13.3,41.2,,,,304,Donald Trump, ,46.10%,673215,62985106,Northeast,3,,-0.5,10,,Connecticut,,Connecticut,D,1644920,136628459,,R,2016
DC,Hex,3,,,,,,Hillary Clinton,,,,0,,92.8,,,3,227,Hillary Clinton,Donald Trump,48.20%,282830,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-83.6,D,-90.9,1,-85,-88.7,4.1,,,,304,Donald Trump, ,46.10%,12723,62985106,Northeast,4,,-0.5,10,,Dist. of Col.,,Dist. of Col.,D,311268,136628459,,R,2016
DE,Hex,3,,,,,,Hillary Clinton,,,,0,,53.4,,,3,227,Hillary Clinton,Donald Trump,48.20%,235603,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-18.6,D,-58.6,1,-20,-11.5,41.9,,,,304,Donald Trump, ,46.10%,185127,62985106,Northeast,5,,-0.5,9,,Delaware,,Delaware,D,442814,136628459,,R,2016
MD,Hex,10,,,,,,Hillary Clinton,,,,0,,60.5,,,10,227,Hillary Clinton,Donald Trump,48.20%,1677928,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-26.1,D,-62,1,-30,-25.2,35.3,,,,304,Donald Trump, ,46.10%,943169,62985106,South,4,,0.5,9,,Maryland,,Maryland,D,2781446,136628459,,R,2016
VA,Hex,13,,,,,,Hillary Clinton,,,,0,,49.9,,,13,227,Hillary Clinton,Donald Trump,48.20%,1981473,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-3.9,D,-51.2,1,-5,-4.9,45,,,,304,Donald Trump, ,46.10%,1769443,62985106,South,4,,-0.5,8,,Virginia,,Virginia,D,3984631,136628459,,R,2016
FL,Hex,29,,,,,,Hillary Clinton,,,,0,,47.8,,,,227,Hillary Clinton,Donald Trump,48.20%,4504975,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-0.9,D,-50,1,-5,1.3,49.1,,,29,304,Donald Trump, ,46.10%,4617886,62985106,South,7,,-0.5,9,Florida,,,Florida,R,9420039,136628459,,R,2016
WA,Hex,12,,,,,,Hillary Clinton,,,,0,,54.5,,,8,227,Hillary Clinton,Donald Trump,48.20%,1742718,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-14.9,D,-56.2,1,-15,-16.3,38.2,,,,304,Donald Trump, ,46.10%,1221747,62985106,West,2,,-0.5,1,,Washington,,Washington,D,3317019,136628459,,R,2016
OR,Hex,7,,,,,,Hillary Clinton,,,,0,,51.7,,,7,227,Hillary Clinton,Donald Trump,48.20%,1002106,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-12.1,D,-54.2,1,-15,-10.6,41.1,,,,304,Donald Trump, ,46.10%,782403,62985106,West,3,,-0.5,1,,Oregon,,Oregon,D,2001336,136628459,,R,2016
NV,Hex,6,,,,,,Hillary Clinton,,,,0,,47.9,,,6,227,Hillary Clinton,Donald Trump,48.20%,539260,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-6.7,D,-52.4,1,-10,-2.4,45.5,,,,304,Donald Trump, ,46.10%,512058,62985106,West,3,,-0.5,2,,Nevada,,Nevada,D,1125385,136628459,,R,2016
CO,Hex,9,,,,,,Hillary Clinton,,,,0,,47.2,,,9,227,Hillary Clinton,Donald Trump,48.20%,1338870,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-5.4,D,-51.5,1,-10,-2.8,44.4,,,,304,Donald Trump, ,46.10%,1202484,62985106,West,4,,-0.5,3,,Colorado,,Colorado,D,2780247,136628459,,R,2016
CA,Hex,55,,,,,,Hillary Clinton,,,,0,,61.5,,,55,227,Hillary Clinton,Donald Trump,48.20%,8753788,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-23.1,D,-60.2,1,-25,-28.3,33.2,,,,304,Donald Trump, ,46.10%,4483810,62985106,West,4,,-0.5,1,,California,,California,D,14181595,136628459,,R,2016
NM,Hex,5,,,,,,Hillary Clinton,,,,0,,48.3,,,5,227,Hillary Clinton,Donald Trump,48.20%,385234,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-10.2,D,-53,1,-15,-8.3,40,,,,304,Donald Trump, ,46.10%,319667,62985106,West,5,,-0.5,3,,New Mexico,,New Mexico,D,798319,136628459,,R,2016
HI,Hex,4,,,,,,Hillary Clinton,,,,0,,62.3,,,3,227,Hillary Clinton,Donald Trump,48.20%,266891,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-42.7,D,-70.5,1,-45,-32.2,30.1,,,,304,Donald Trump, ,46.10%,128847,62985106,West,7,,-0.5,1,,Hawaii,,Hawaii,D,428937,136628459,,R,2016
IN,Hex,11,,,,,,Hillary Clinton,,,,0,,37.9,,,,227,Hillary Clinton,Donald Trump,48.20%,1033126,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",10.2,R,54.1,1,10,19.3,57.2,,,11,304,Donald Trump, ,46.10%,1557286,62985106,Midwest,3,,-0.5,6,Indiana,,,Indiana,R,2734958,136628459,,R,2016
ND,Hex,3,,,,,,Hillary Clinton,,,,0,,27.8,,,,227,Hillary Clinton,Donald Trump,48.20%,93758,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",19.6,R,58.3,1,15,36.3,64.1,,,3,304,Donald Trump, ,46.10%,216794,62985106,Midwest,2,,-0.5,4,North Dakota,,,North Dakota,R,344360,136628459,,R,2016
SD,Hex,3,,,,,,Hillary Clinton,,,,0,,31.7,,,,227,Hillary Clinton,Donald Trump,48.20%,117458,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",18,R,57.9,1,15,29.8,61.5,,,3,304,Donald Trump, ,46.10%,227721,62985106,Midwest,3,,-0.5,4,South Dakota,,,South Dakota,R,370093,136628459,,R,2016
