Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
ND,Hex,3,32,% shift to the right,John Anderson:	,,,Jimmy Carter,I,,Right,0,ü,26.3,-19.5,-56889,,49,JIMMY CARTER,Ronald Reagan,41.0%,79189,35483883,3.5,2,7.8,,,● ,),%), (,JOHN ANDERSON,6.6%,23640,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",5.8,R,51.6,1,35,37.9,64.2,12.6,40225,3,489,RONALD REAGAN,John Anderson,50.7%,193695,43904153,Midwest,2,32.1,-0.5,4,North Dakota,,,North Dakota,R,301545,86513813,64.2,R,1980
MI,Hex,21,1,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,42.5,-3.9,-35182,,49,JIMMY CARTER,Ronald Reagan,41.0%,1661532,35483883,7.5,2,7.0,,,● ,),%), (,JOHN ANDERSON,6.6%,275223,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",5.4,R,51.8,1,5,6.5,49.0,-2.8,21483,21,489,RONALD REAGAN,John Anderson,50.7%,1915225,43904153,Midwest,2,1.1,-0.5,8,Michigan,,,Michigan,R,3909725,86513813,49,R,1980
IL,Hex,26,6,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,41.7,-6.4,-289882,,49,JIMMY CARTER,Ronald Reagan,41.0%,1981413,35483883,6,3,7.3,,,● ,),%), (,JOHN ANDERSON,6.6%,346754,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",2,R,50.1,1,5,7.9,49.6,-0.5,-6220,26,489,RONALD REAGAN,John Anderson,50.7%,2358049,43904153,Midwest,2,5.9,-0.5,6,Illinois,,,Illinois,R,4749721,86513813,49.6,R,1980
SD,Hex,4,27,% shift to the right,John Anderson:	,,,Jimmy Carter,H,,Right,0,ü,31.7,-17.2,-43213,,49,JIMMY CARTER,Ronald Reagan,41.0%,103855,35483883,4,3,6.5,,,● ,),%), (,JOHN ANDERSON,6.6%,21431,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",1.5,R,50.4,1,25,28.8,60.5,10.1,46838,4,489,RONALD REAGAN,John Anderson,50.7%,198343,43904153,Midwest,3,27.3,-0.5,4,South Dakota,,,South Dakota,R,327703,86513813,60.5,R,1980
IA,Hex,8,12,% shift to the right,John Anderson:	,,,Jimmy Carter,G,,Right,0,ü,38.6,-9.9,-111259,,49,JIMMY CARTER,Ronald Reagan,41.0%,508672,35483883,5,3,8.8,,,● ,),%), (,JOHN ANDERSON,6.6%,115633,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",1,R,49.5,1,10,12.7,51.3,1.8,43163,8,489,RONALD REAGAN,John Anderson,50.7%,676026,43904153,Midwest,3,11.7,-0.5,5,Iowa,,,Iowa,R,1317661,86513813,51.3,R,1980
IN,Hex,13,11,% shift to the right,John Anderson:	,,,Jimmy Carter,G,,Right,0,ü,37.7,-8,-170517,,49,JIMMY CARTER,Ronald Reagan,41.0%,844197,35483883,7,3,5.0,,,● ,),%), (,JOHN ANDERSON,6.6%,111639,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",7.600000000,R,53.3,1,15,18.3,56.0,2.7,71698,13,489,RONALD REAGAN,John Anderson,50.7%,1255656,43904153,Midwest,3,10.7,-0.5,6,Indiana,,,Indiana,R,2242033,86513813,56,R,1980
NE,Hex,5,19,% shift to the right,John Anderson:	,,,Jimmy Carter,I,,Right,0,ü,26.0,-12.5,-66841,,49,JIMMY CARTER,Ronald Reagan,41.0%,166851,35483883,4.5,4,7.0,,,● ,),%), (,JOHN ANDERSON,6.6%,44993,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",20.7,R,59.2,1,35,39.5,65.5,6.3,60232,5,489,RONALD REAGAN,John Anderson,50.7%,419937,43904153,Midwest,4,18.8,-0.5,4,Nebraska,,,Nebraska,R,640854,86513813,65.5,R,1980
KS,Hex,7,17,% shift to the right,John Anderson:	,,,Jimmy Carter,H,,Right,0,ü,33.3,-11.6,-104271,,49,JIMMY CARTER,Ronald Reagan,41.0%,326150,35483883,5,5,7.0,,,● ,),%), (,JOHN ANDERSON,6.6%,68231,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",7.6,R,52.5,1,20,24.6,57.9,5.4,64060,7,489,RONALD REAGAN,John Anderson,50.7%,566812,43904153,Midwest,5,17.0,-0.5,4,Kansas,,,Kansas,R,979795,86513813,57.9,R,1980
NY,Hex,41,7,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,44.0,-7.9,-661186,,49,JIMMY CARTER,Ronald Reagan,41.0%,2728372,35483883,9.5,2,7.5,,,● ,),%), (,JOHN ANDERSON,6.6%,467801,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-4.4,D,-51.9,1,0,2.7,46.7,-0.800000000,-206960,41,489,RONALD REAGAN,John Anderson,50.7%,2893831,43904153,Northeast,2,7.1,-0.5,9,New York,,,New York,R,6201959,86513813,46.7,R,1980
MA,Hex,14,16,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,41.7,-14.4,-375673,,49,JIMMY CARTER,Ronald Reagan,41.0%,1053802,35483883,10.5,2,15.2,,,● ,),%), (,JOHN ANDERSON,6.6%,382539,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-15.7,D,-56.1,1,0,0.200000000,41.9,1.5,27355,14,489,RONALD REAGAN,John Anderson,50.7%,1057631,43904153,Northeast,2,15.9,-0.5,11,Massachusetts,,,Massachusetts,R,2522890,86513813,41.9,R,1980
PA,Hex,27,10,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,42.5,-7.9,-391137,,49,JIMMY CARTER,Ronald Reagan,41.0%,1937540,35483883,9,3,6.4,,,● ,),%), (,JOHN ANDERSON,6.6%,292921,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-2.7,D,-50.4,1,5,7.1,49.6,1.9,56268,27,489,RONALD REAGAN,John Anderson,50.7%,2261872,43904153,Northeast,3,9.8,-0.5,8,Pennsylvania,,,Pennsylvania,R,4561501,86513813,49.6,R,1980
DE,Hex,3,8,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,44.8,-7.2,-16842,,49,JIMMY CARTER,Ronald Reagan,41.0%,105754,35483883,9.5,4,6.9,,,● ,),%), (,JOHN ANDERSON,6.6%,16288,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-5.4,D,-52,1,0,2.400000000,47.2,0.600000000,1421,3,489,RONALD REAGAN,John Anderson,50.7%,111252,43904153,Northeast,5,7.8,-0.5,9,Delaware,,,Delaware,R,235900,86513813,47.2,R,1980
ME,Hex,4,3,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,42.3,-5.8,-11305,,49,JIMMY CARTER,Ronald Reagan,41.0%,220974,35483883,11.5,0,10.2,,,● ,),%), (,JOHN ANDERSON,6.6%,53327,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",0.800000000,R,48.9,1,0,3.3,45.6,-3.3,2202,4,489,RONALD REAGAN,John Anderson,50.7%,238522,43904153,Northeast,0,2.5,-0.5,11,Maine,,,Maine,R,523011,86513813,45.6,R,1980
VT,Hex,3,5,% shift to the left,John Anderson:	,,,Jimmy Carter,F,,Left,0,ü,38.4,-4.7,998,,49,JIMMY CARTER,Ronald Reagan,41.0%,81952,35483883,10,1,14.9,,,● ,),%), (,JOHN ANDERSON,6.6%,31761,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",11.3,R,54.4,1,5,6,44.4,-10,-7457,3,489,RONALD REAGAN,John Anderson,50.7%,94628,43904153,Northeast,1,-5.3,0.5,10,Vermont,,,Vermont,R,213299,86513813,44.4,R,1980
