Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MD,Hex,10,29,% shift to the right,George Wallace:	,,,Hubert Humphrey,A,      ,Right,0,ü,43.6,-21.9,-192602,10,191,HUBERT HUMPHREY,Richard Nixon,42.7%,538310,31275166,8.5,4,14.5,,46,● ,),%), (,GEORGE WALLACE,13.5%,178734,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-31,D,-65.5,1,-5,-1.7,41.9,7.4,132500,,301,RICHARD NIXON,George Wallace,43.4%,517995,31785480,South,4,29.3,-0.5,9,,Maryland,,Maryland,D,1235039,73211875,-43.6,R,1968
TX,Hex,25,26,% shift to the right,George Wallace:	,,,Hubert Humphrey,A,      ,Right,0,ü,41.1,-22.2,-396381,25,191,HUBERT HUMPHREY,Richard Nixon,42.7%,1266804,31275166,4,7,19.0,,46,● ,),%), (,GEORGE WALLACE,13.5%,584269,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-26.8,D,-63.3,1,-5,-1.2,39.9,3.4,269278,,301,RICHARD NIXON,George Wallace,43.4%,1227844,31785480,South,7,25.6,-0.5,4,,Texas,,Texas,D,3079216,73211875,-41.1,R,1968
WA,Hex,9,23,% shift to the right,George Wallace:	,,,Hubert Humphrey,A,      ,Right,0,ü,47.2,-14.8,-163844,9,191,HUBERT HUMPHREY,Richard Nixon,42.7%,616037,31275166,1.5,2,7.4,,46,● ,),%), (,GEORGE WALLACE,13.5%,96990,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-24.6,D,-62,1,-5,-2.1,45.1,7.7,118144,,301,RICHARD NIXON,George Wallace,43.4%,588510,31785480,West,2,22.5,-0.5,1,,Washington,,Washington,D,1304281,73211875,-47.2,R,1968
HI,Hex,4,37,% shift to the right,George Wallace:	,,,Hubert Humphrey,C,      ,Right,0,ü,59.8,-19,-21925,4,191,HUBERT HUMPHREY,Richard Nixon,42.7%,141324,31275166,-0.5,5,1.5,,46,● ,),%), (,GEORGE WALLACE,13.5%,3469,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-57.6,D,-78.8,1,-25,-21.1,38.7,17.5,47403,,301,RICHARD NIXON,George Wallace,43.4%,91425,31785480,West,7,36.5,-0.5,1,,Hawaii,,Hawaii,D,236218,73211875,-59.8,R,1968
AR,Hex,6,,Independent winner,George Wallace:	,,,Hubert Humphrey,K,      ,Independent,0,ü,30.4,-25.7,-125969,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,188228,31275166,6,5,38.9,6,46,● ,),%), (,GEORGE WALLACE,13.5%,240982,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-12.7,D,-56.1,1,0,0,30.8,-12.6,-52505,,301,RICHARD NIXON,George Wallace,43.4%,190759,31785480,South,5,12.7,-0.5,5,,,Arkansas,Arkansas,I,619969,73211875,0,R,1968
MS,Hex,7,,Independent winner,George Wallace:	,,,Hubert Humphrey,K,      ,Independent,0,ü,23.0,10.1,98026,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,150644,31275166,6.5,6,63.5,7,46,● ,),%), (,GEORGE WALLACE,13.5%,415349,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",74.2,R,87.1,1,0,0,13.5,-73.6,-268012,,301,RICHARD NIXON,George Wallace,43.4%,88516,31785480,South,6,-74.2,0.5,6,,,Mississippi,Mississippi,I,654509,73211875,0,R,1968
LA,Hex,10,,Independent winner,George Wallace:	,,,Hubert Humphrey,K,      ,Independent,0,ü,28.2,-15,-77453,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,309615,31275166,5.5,6,48.3,10,46,● ,),%), (,GEORGE WALLACE,13.5%,530300,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",13.6,R,56.8,1,0,0,23.5,-33.3,-251690,,301,RICHARD NIXON,George Wallace,43.4%,257535,31785480,South,6,-13.6,0.5,5,,,Louisiana,Louisiana,I,1097450,73211875,0,R,1968
AL,Hex,10,,Independent winner,George Wallace:	,,,Hubert Humphrey,K,      ,Independent,0,ü,18.7,-11.849072364,-14154,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,196579,31275166,7.5,6,65.9,10,46,● ,),%), (,GEORGE WALLACE,13.5%,691425,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",38.950927636,R,69.5,1,0,0,14.0,-55.5,-332162,,301,RICHARD NIXON,George Wallace,43.4%,146923,31785480,South,6,-39.0,0.5,7,,,Alabama,Alabama,I,1049922,73211875,0,R,1968
GA,Hex,12,,Independent winner,George Wallace:	,,,Hubert Humphrey,K,      ,Independent,0,ü,26.7,-19.2,-188116,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,334440,31275166,8,7,42.8,12,46,● ,),%), (,GEORGE WALLACE,13.5%,535550,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",8.2,R,54.1,1,0,0,30.4,-23.7,-236473,,301,RICHARD NIXON,George Wallace,43.4%,380111,31785480,South,6,-8.2,0.5,8,,,Georgia,Georgia,I,1250266,73211875,0,R,1968
ND,Hex,4,34,% shift to the right,George Wallace:	,,,Hubert Humphrey,G,      ,Right,0,ü,38.2,-19.8,-55015,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,94769,31275166,3.5,2,5.7,,46,● ,),%), (,GEORGE WALLACE,13.5%,14244,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-16.1,D,-58,1,15,17.7,55.9,14,30462,4,301,RICHARD NIXON,George Wallace,43.4%,138669,31785480,Midwest,2,33.8,-0.5,4,North Dakota,,,North Dakota,R,247882,73211875,55.9,R,1968
WI,Hex,12,28,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,44.3,-17.8,-301620,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,748804,31275166,5.5,2,7.6,,46,● ,),%), (,GEORGE WALLACE,13.5%,127835,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-24.4,D,-62.1,1,0,3.6,47.9,10.2,171502,12,301,RICHARD NIXON,George Wallace,43.4%,809997,31785480,Midwest,2,28.0,-0.5,7,Wisconsin,,,Wisconsin,R,1691538,73211875,47.9,R,1968
IL,Hex,26,22,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,44.2,-15.3,-757019,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,2039814,31275166,6,3,8.5,,46,● ,),%), (,GEORGE WALLACE,13.5%,390958,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-19,D,-59.5,1,0,2.9,47.1,6.6,268828,26,301,RICHARD NIXON,George Wallace,43.4%,2174774,31785480,Midwest,2,21.9,-0.5,6,Illinois,,,Illinois,R,4619749,73211875,47.1,R,1968
SD,Hex,4,23,% shift to the right,George Wallace:	,,,Hubert Humphrey,G,      ,Right,0,ü,42.0,-13.6,-44987,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,118023,31275166,4,3,4.8,,46,● ,),%), (,GEORGE WALLACE,13.5%,13400,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-11.2,D,-55.6,1,10,11.3,53.3,8.9,19733,4,301,RICHARD NIXON,George Wallace,43.4%,149841,31785480,Midwest,3,22.5,-0.5,4,South Dakota,,,South Dakota,R,281264,73211875,53.3,R,1968
IA,Hex,9,36,% shift to the right,George Wallace:	,,,Hubert Humphrey,G,      ,Right,0,ü,40.8,-21.1,-256331,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,476699,31275166,5,3,5.7,,46,● ,),%), (,GEORGE WALLACE,13.5%,66422,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-24,D,-61.9,1,10,12.2,53.0,15.1,169958,9,301,RICHARD NIXON,George Wallace,43.4%,619106,31785480,Midwest,3,36.2,-0.5,5,Iowa,,,Iowa,R,1167931,73211875,53,R,1968
IN,Hex,13,25,% shift to the right,George Wallace:	,,,Hubert Humphrey,G,      ,Right,0,ü,38.0,-18,-364189,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,806659,31275166,7,3,11.4,,46,● ,),%), (,GEORGE WALLACE,13.5%,243108,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-12.4,D,-56,1,10,12.3,50.3,6.7,156767,13,301,RICHARD NIXON,George Wallace,43.4%,1067885,31785480,Midwest,3,24.7,-0.5,6,Indiana,,,Indiana,R,2123597,73211875,50.3,R,1968
