Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip â—è,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
NY,Hex,31,8,% shift to the left,,,Ã_,Barack Obama,C,,Left,0,,62.8,4.4,455420,31,365,BARACK OBAMAÂ ,John McCain,52.90%,4769700,69456897,9.5,2,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-18.3,D,-58.4,1,-30,-26.7,36.1,-4,-220269,,173,JOHN McCAIN, ,45.70%,2742298,59934814,Northeast,2,-8.4,0.5,9,,New York,,New York,D,7591233,131278107,-62.8,D,2008
RI,Hex,4,7,% shift to the left,,,Ã_,Barack Obama,C,,Left,0,,63.1,3.7,36806,4,365,BARACK OBAMAÂ ,John McCain,52.90%,296571,69456897,11.5,2,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-20.7,D,-59.4,1,-30,-27.9,35.2,-3.5,-3655,,173,JOHN McCAIN, ,45.70%,165391,59934814,Northeast,2,-7.2,0.5,10,,Rhode Island,,Rhode Island,D,469767,131278107,-63.1,D,2008
MA,Hex,12,1,% shift to the left,,,Ã_,Barack Obama,C,,Left,0,,61.8,-0.1,100297,12,365,BARACK OBAMAÂ ,John McCain,52.90%,1904097,69456897,10.5,2,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-25.1,D,-61.9,1,-30,-25.8,36,-0.8,37745,,173,JOHN McCAIN, ,45.70%,1108854,59934814,Northeast,2,-0.7,0.5,11,,Massachusetts,,Massachusetts,D,3080985,131278107,-61.8,D,2008
PA,Hex,21,8,% shift to the left,,,Ã_,Barack Obama,B,,Left,0,,54.3,3.4,338268,21,365,BARACK OBAMAÂ ,John McCain,52.90%,3276363,69456897,9,3,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-2.5,D,-50.9,1,-15,-10.3,44,-4.4,-137962,,173,JOHN McCAIN, ,45.70%,2655885,59934814,Northeast,3,-7.8,0.5,8,,Pennsylvania,,Pennsylvania,D,6034745,131278107,-54.3,D,2008
NJ,Hex,15,9,% shift to the left,,,Ã_,Barack Obama,B,,Left,0,,57.3,4.4,303992,15,365,BARACK OBAMAÂ ,John McCain,52.90%,2215422,69456897,10,3,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-6.7,D,-52.9,1,-20,-15.6,41.7,-4.5,-56796,,173,JOHN McCAIN, ,45.70%,1613207,59934814,Northeast,3,-8.9,0.5,9,,New Jersey,,New Jersey,D,3868237,131278107,-57.3,D,2008
CT,Hex,7,12,% shift to the left,,,Ã_,Barack Obama,C,,Left,0,,60.6,6.3,140284,7,365,BARACK OBAMAÂ ,John McCain,52.90%,997772,69456897,11,3,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-10.4,D,-54.3,1,-25,-22.4,38.2,-5.7,-64398,,173,JOHN McCAIN, ,45.70%,629428,59934814,Northeast,3,-12,0.5,10,,Connecticut,,Connecticut,D,1646792,131278107,-60.6,D,2008
DC,Hex,3,6,% shift to the left,,,Ã_,Barack Obama,E,,Left,0,,92.5,3.3,42830,3,365,BARACK OBAMAÂ ,John McCain,52.90%,245800,69456897,12,5,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-79.9,D,-89.2,1,-90,-86,6.5,-2.8,-3889,,173,JOHN McCAIN, ,45.70%,17367,59934814,Northeast,4,-6.1,0.5,10,,Dist. of Col.,,Dist. of Col.,D,265853,131278107,-92.5,D,2008
DE,Hex,3,18,% shift to the left,,,Ã_,Barack Obama,C,,Left,0,,61.9,8.6,55307,3,365,BARACK OBAMAÂ ,John McCain,52.90%,255459,69456897,9.5,4,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-7.5,D,-53.3,1,-25,-25,36.9,-8.9,-19286,,173,JOHN McCAIN, ,45.70%,152374,59934814,Northeast,5,-17.5,0.5,9,,Delaware,,Delaware,D,412412,131278107,-61.9,D,2008
MD,Hex,10,12,% shift to the left,,,Ã_,Barack Obama,C,,Left,0,,61.9,6,294974,10,365,BARACK OBAMAÂ ,John McCain,52.90%,1629467,69456897,8.5,4,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-13,D,-55.9,1,-30,-25.4,36.5,-6.4,-64841,,173,JOHN McCAIN, ,45.70%,959862,59934814,South,4,-12.4,0.5,9,,Maryland,,Maryland,D,2631596,131278107,-61.9,D,2008
VA,Hex,13,15,% shift to the left,,,Ã_,Barack Obama,A,,Left,0,,52.6,7.1,504790,13,365,BARACK OBAMAÂ ,John McCain,52.90%,1959532,69456897,8,5,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",8.2,R,53.7,1,-10,-6.3,46.3,-7.4,8046,,173,JOHN McCAIN, ,45.70%,1725005,59934814,South,4,-14.5,0.5,8,,Virginia,,Virginia,D,3723260,131278107,-52.6,D,2008
NC,Hex,15,13,% shift to the left,,,Ã_,Barack Obama,A,,Left,0,,49.7,6.1,616802,15,365,BARACK OBAMAÂ ,John McCain,52.90%,2142651,69456897,9,5,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",12.4,R,56,1,-5,-0.3,49.4,-6.6,167308,,173,JOHN McCAIN, ,45.70%,2128474,59934814,South,5,-12.7,0.5,7,,North Carolina,,North Carolina,D,4310789,131278107,-49.7,D,2008
FL,Hex,27,8,% shift to the left,,,Ã_,Barack Obama,A,,Left,0,,51,3.9,698530,27,365,BARACK OBAMAÂ ,John McCain,52.90%,4282074,69456897,8.5,8,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",5,R,52.1,1,-5,-2.8,48.2,-3.9,81102,,173,JOHN McCAIN, ,45.70%,4045624,59934814,South,7,-7.8,0.5,9,,Florida,,Florida,D,8390744,131278107,-51,D,2008
WA,Hex,11,10,% shift to the left,,,Ã_,Barack Obama,B,,Left,0,,57.7,4.9,240647,11,365,BARACK OBAMAÂ ,John McCain,52.90%,1750848,69456897,1.5,2,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-7.2,D,-52.8,1,-20,-17.2,40.5,-5.1,-75678,,173,JOHN McCAIN, ,45.70%,1229216,59934814,West,2,-10,0.5,1,,Washington,,Washington,D,3036878,131278107,-57.7,D,2008
OR,Hex,7,12,% shift to the left,,,Ã_,Barack Obama,B,,Left,0,,56.7,5.4,94128,7,365,BARACK OBAMAÂ ,John McCain,52.90%,1037291,69456897,1.5,4,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-4.1,D,-51.3,1,-20,-16.3,40.4,-6.8,-128356,,173,JOHN McCAIN, ,45.70%,738475,59934814,West,3,-12.2,0.5,1,,Oregon,,Oregon,D,1827864,131278107,-56.7,D,2008
CA,Hex,55,14,% shift to the left,,,Ã_,Barack Obama,C,,Left,0,,61,6.7,1528988,55,365,BARACK OBAMAÂ ,John McCain,52.90%,8274473,69456897,2,5,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-9.9,D,-54.3,1,-25,-24,37,-7.4,-498045,,173,JOHN McCAIN, ,45.70%,5011781,59934814,West,4,-14.1,0.5,1,,California,,California,D,13561900,131278107,-61,D,2008
HI,Hex,4,37,% shift to the left,,,Ã_,Barack Obama,E,,Left,0,,71.8,17.8,94163,4,365,BARACK OBAMAÂ ,John McCain,52.90%,325871,69456897,-0.5,5,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-8.7,D,-54,1,-50,-45.2,26.6,-18.7,-73625,,173,JOHN McCAIN, ,45.70%,120566,59934814,West,7,-36.5,0.5,1,,Hawaii,,Hawaii,D,453568,131278107,-71.8,D,2008
NV,Hex,5,15,% shift to the left,,,Ã_,Barack Obama,B,,Left,0,,55.1,7.2,136546,5,365,BARACK OBAMAÂ ,John McCain,52.90%,533736,69456897,2.5,4,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",2.6,R,50.5,1,-15,-12.4,42.7,-7.8,-5863,,173,JOHN McCAIN, ,45.70%,412827,59934814,West,3,-15,0.5,2,,Nevada,,Nevada,D,967848,131278107,-55.1,D,2008
CO,Hex,9,14,% shift to the left,,,Ã_,Barack Obama,A,,Left,0,,53.7,6.7,286844,9,365,BARACK OBAMAÂ ,John McCain,52.90%,1288576,69456897,3.5,4,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",4.7,R,51.7,1,-10,-9,44.7,-7,-27666,,173,JOHN McCAIN, ,45.70%,1073589,59934814,West,4,-13.7,0.5,3,,Colorado,,Colorado,D,2401361,131278107,-53.7,D,2008
