Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
DC,Hex,3,7,% shift to the left,Ross Perot:	,,ü,Bill Clinton,E,,Left,0,,84.6,2,33212,3,370,BILL CLINTON,George Bush,43.0%,192619,44909326,12,5,4.3,,,● ,),%), (,ROSS PEROT,18.9%,9681,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",-68.3,D,-82.6,1,-80,-75.5,9.1,-5.2,-6892,,168,GEORGE BUSH,Ross Perot,37.4%,20698,39103882,Northeast,4,-7.2,0.5,10,,Dist. of Col.,,Dist. of Col.,D,227572,104425014,-84.6,D,1992
ME,Hex,4,20,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,38.8,-5.1,19851,4,370,BILL CLINTON,George Bush,43.0%,263420,44909326,11.5,0,30.4,,,● ,),%), (,ROSS PEROT,18.9%,206820,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",11.4,R,55.3,1,-10,-8.4,30.4,-24.9,-100627,,168,GEORGE BUSH,Ross Perot,37.4%,206504,39103882,Northeast,0,-19.8,0.5,11,,Maine,,Maine,D,679499,104425014,-38.8,D,1992
VT,Hex,3,19,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,46.1,-1.5,17817,3,370,BILL CLINTON,George Bush,43.0%,133592,44909326,10,1,22.8,,,● ,),%), (,ROSS PEROT,18.9%,65991,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",3.5,R,51.1,1,-20,-15.7,30.4,-20.7,-36209,,168,GEORGE BUSH,Ross Perot,37.4%,88122,39103882,Northeast,1,-19.2,0.5,10,,Vermont,,Vermont,D,289701,104425014,-46.1,D,1992
NH,Hex,4,27,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,38.9,2.6,45344,4,370,BILL CLINTON,George Bush,43.0%,209040,44909326,11,1,22.6,,,● ,),%), (,ROSS PEROT,18.9%,121337,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",26.1,R,62.4,1,-5,-1.3,37.6,-24.8,-79053,,168,GEORGE BUSH,Ross Perot,37.4%,202484,39103882,Northeast,1,-27.4,0.5,11,,New Hampshire,,New Hampshire,D,537943,104425014,-38.9,D,1992
PA,Hex,23,11,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,45.1,-3.3,44220,23,370,BILL CLINTON,George Bush,43.0%,2239164,44909326,9,3,18.2,,,● ,),%), (,ROSS PEROT,18.9%,902667,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",2.3,R,50.7,1,-10,-9,36.1,-14.6,-508246,,168,GEORGE BUSH,Ross Perot,37.4%,1791841,39103882,Northeast,3,-11.3,0.5,8,,Pennsylvania,,Pennsylvania,D,4959810,104425014,-45.1,D,1992
NJ,Hex,15,16,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,43.0,0.400000000,115854,15,370,BILL CLINTON,George Bush,43.0%,1436206,44909326,10,3,15.6,,,● ,),%), (,ROSS PEROT,18.9%,521829,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",13.6,R,56.2,1,-5,-2.4,40.6,-15.6,-386327,,168,GEORGE BUSH,Ross Perot,37.4%,1356865,39103882,Northeast,3,-16.0,0.5,9,,New Jersey,,New Jersey,D,3343594,104425014,-43,D,1992
CT,Hex,8,12,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,42.2,-4.7,5734,8,370,BILL CLINTON,George Bush,43.0%,682318,44909326,11,3,21.6,,,● ,),%), (,ROSS PEROT,18.9%,348771,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",5.1,R,52,1,-10,-6.400000000,35.8,-16.2,-171928,,168,GEORGE BUSH,Ross Perot,37.4%,578313,39103882,Northeast,3,-11.5,0.5,10,,Connecticut,,Connecticut,D,1616332,104425014,-42.2,D,1992
DE,Hex,3,21,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,43.5,0,17407,3,370,BILL CLINTON,George Bush,43.0%,126054,44909326,9.5,4,20.4,,,● ,),%), (,ROSS PEROT,18.9%,59213,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",12.4,R,55.9,1,-10,-8.2,35.3,-20.6,-37326,,168,GEORGE BUSH,Ross Perot,37.4%,102313,39103882,Northeast,5,-20.6,0.5,9,,Delaware,,Delaware,D,289735,104425014,-43.5,D,1992
WV,Hex,5,8,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,48.4,-3.8,-10015,5,370,BILL CLINTON,George Bush,43.0%,331001,44909326,7.5,4,15.9,,,● ,),%), (,ROSS PEROT,18.9%,108829,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",-4.7,D,-52.2,1,-15,-13,35.4,-12.1,-68091,,168,GEORGE BUSH,Ross Perot,37.4%,241974,39103882,South,4,-8.3,0.5,7,,West Virginia,,West Virginia,D,683762,104425014,-48.4,D,1992
KY,Hex,8,15,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,44.6,0.700000000,84736,8,370,BILL CLINTON,George Bush,43.0%,665104,44909326,6.5,4,13.7,,,● ,),%), (,ROSS PEROT,18.9%,203944,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",11.6,R,55.5,1,-5,-3.3,41.3,-14.2,-117103,,168,GEORGE BUSH,Ross Perot,37.4%,617178,39103882,South,4,-14.9,0.5,6,,Kentucky,,Kentucky,D,1492900,104425014,-44.6,D,1992
MD,Hex,10,17,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,49.8,1.600000000,162267,10,370,BILL CLINTON,George Bush,43.0%,988571,44909326,8.5,4,14.2,,,● ,),%), (,ROSS PEROT,18.9%,281414,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",2.9,R,51.1,1,-15,-14.2,35.6,-15.5,-169073,,168,GEORGE BUSH,Ross Perot,37.4%,707094,39103882,South,4,-17.1,0.5,9,,Maryland,,Maryland,D,1985046,104425014,-49.8,D,1992
AR,Hex,6,32,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,53.2,11,156586,6,370,BILL CLINTON,George Bush,43.0%,505823,44909326,6,5,10.4,,,● ,),%), (,ROSS PEROT,18.9%,99132,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",14.2,R,56.4,1,-20,-17.7,35.5,-20.9,-129254,,168,GEORGE BUSH,Ross Perot,37.4%,337324,39103882,South,5,-31.9,0.5,5,,Arkansas,,Arkansas,D,950653,104425014,-53.2,D,1992
TN,Hex,11,21,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,47.1,5.6,253727,11,370,BILL CLINTON,George Bush,43.0%,933521,44909326,7,5,10.1,,,● ,),%), (,ROSS PEROT,18.9%,199968,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",16.4,R,57.9,1,-5,-4.7,42.4,-15.5,-105933,,168,GEORGE BUSH,Ross Perot,37.4%,841300,39103882,South,5,-21.1,0.5,6,,Tennessee,,Tennessee,D,1982638,104425014,-47.1,D,1992
LA,Hex,9,15,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,45.6,1.5,98511,9,370,BILL CLINTON,George Bush,43.0%,815971,44909326,5.5,6,11.8,,,● ,),%), (,ROSS PEROT,18.9%,211478,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",10.2,R,54.3,1,-5,-4.6,41.0,-13.3,-150316,,168,GEORGE BUSH,Ross Perot,37.4%,733386,39103882,South,6,-14.8,0.5,5,,Louisiana,,Louisiana,D,1790017,104425014,-45.6,D,1992
GA,Hex,13,21,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,43.5,4,294174,13,370,BILL CLINTON,George Bush,43.0%,1008966,44909326,8,7,13.3,,,● ,),%), (,ROSS PEROT,18.9%,309657,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",20.3,R,59.8,1,-5,-0.600000000,42.9,-16.9,-86079,,168,GEORGE BUSH,Ross Perot,37.4%,995252,39103882,South,6,-20.9,0.5,8,,Georgia,,Georgia,D,2321125,104425014,-43.5,D,1992
WA,Hex,11,10,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,43.4,-6.6,59521,11,370,BILL CLINTON,George Bush,43.0%,993037,44909326,1.5,2,23.7,,,● ,),%), (,ROSS PEROT,18.9%,541780,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",-1.5,D,-50,1,-15,-11.4,32.0,-16.5,-172601,,168,GEORGE BUSH,Ross Perot,37.4%,731234,39103882,West,2,-9.9,0.5,1,,Washington,,Washington,D,2288230,104425014,-43.4,D,1992
OR,Hex,7,5,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,42.5,-8.8,5108,7,370,BILL CLINTON,George Bush,43.0%,621314,44909326,1.5,4,24.2,,,● ,),%), (,ROSS PEROT,18.9%,354091,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",-4.7,D,-51.3,1,-10,-10,32.5,-14.1,-84369,,168,GEORGE BUSH,Ross Perot,37.4%,475757,39103882,West,3,-5.3,0.5,1,,Oregon,,Oregon,D,1462643,104425014,-42.5,D,1992
HI,Hex,4,2,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,48.1,-6.2,-13054,4,370,BILL CLINTON,George Bush,43.0%,179310,44909326,-0.5,5,14.2,,,● ,),%), (,ROSS PEROT,18.9%,53003,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",-9.5,D,-54.3,1,-15,-11.4,36.7,-8.100000000,-21803,,168,GEORGE BUSH,Ross Perot,37.4%,136822,39103882,West,7,-1.9,0.5,1,,Hawaii,,Hawaii,D,372842,104425014,-48.1,D,1992
MT,Hex,3,8,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,37.6,-8.6,-14429,3,370,BILL CLINTON,George Bush,43.0%,154507,44909326,2.5,2,26.1,,,● ,),%), (,ROSS PEROT,18.9%,107225,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",5.9,R,52.1,1,-5,-2.5,35.1,-17,-46205,,168,GEORGE BUSH,Ross Perot,37.4%,144207,39103882,West,2,-8.4,0.5,3,,Montana,,Montana,D,410611,104425014,-37.6,D,1992
