Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
NY,Hex,33,13,% shift to the left,Ross Perot:	,,ü,Bill Clinton,C,,Left,0,,59.5,9.8,311727,33,379,BILL CLINTON,Robert Dole ,49.2%,3756177,47402357,9.5,2,8.0,,,● ,),%), (,ROSS PEROT,8.4%,503458,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-15.8,D,-49.7,1,-30,-28.9,30.6,-3.3,-413157,,159,ROBERT DOLE ,Ross Perot,40.7%,1933492,39198755,Northeast,2,-13.1,0.5,9,,New York,,New York,D,6316129,96277223,-59.5,D,1996
RI,Hex,4,15,% shift to the left,Ross Perot:	,,ü,Bill Clinton,D,,Left,0,,59.7,12.7,19751,4,379,BILL CLINTON,Robert Dole ,49.2%,233050,47402357,11.5,2,11.2,,,● ,),%), (,ROSS PEROT,8.4%,43723,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-18,D,-47,1,-35,-32.9,26.8,-2.2,-26918,,159,ROBERT DOLE ,Ross Perot,40.7%,104683,39198755,Northeast,2,-14.9,0.5,10,,Rhode Island,,Rhode Island,D,390284,96277223,-59.7,D,1996
MA,Hex,12,15,% shift to the left,Ross Perot:	,,ü,Bill Clinton,D,,Left,0,,61.5,14,253101,12,379,BILL CLINTON,Robert Dole ,49.2%,1571763,47402357,10.5,2,8.9,,,● ,),%), (,ROSS PEROT,8.4%,227217,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-18.5,D,-47.5,1,-35,-33.4,28.1,-0.900000000,-86942,,159,ROBERT DOLE ,Ross Perot,40.7%,718107,39198755,Northeast,2,-14.9,0.5,11,,Massachusetts,,Massachusetts,D,2556786,96277223,-61.5,D,1996
PA,Hex,23,0,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,49.2,4.1,-23345,23,379,BILL CLINTON,Robert Dole ,49.2%,2215819,47402357,9,3,9.6,,,● ,),%), (,ROSS PEROT,8.4%,430984,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-9,D,-45.1,1,-10,-9.2,40.0,3.9,9328,,159,ROBERT DOLE ,Ross Perot,40.7%,1801169,39198755,Northeast,3,-0.2,0.5,8,,Pennsylvania,,Pennsylvania,D,4506118,96277223,-49.2,D,1996
NJ,Hex,15,15,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,53.7,10.7,216123,15,379,BILL CLINTON,Robert Dole ,49.2%,1652329,47402357,10,3,8.5,,,● ,),%), (,ROSS PEROT,8.4%,262134,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-2.4,D,-43,1,-20,-17.8,35.9,-4.7,-253787,,159,ROBERT DOLE ,Ross Perot,40.7%,1103078,39198755,Northeast,3,-15.4,0.5,9,,New Jersey,,New Jersey,D,3075807,96277223,-53.7,D,1996
CT,Hex,8,12,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,52.8,10.6,53422,8,379,BILL CLINTON,Robert Dole ,49.2%,735740,47402357,11,3,10.0,,,● ,),%), (,ROSS PEROT,8.4%,139523,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-6.400000000,D,-42.2,1,-20,-18.1,34.7,-1.100000000,-95204,,159,ROBERT DOLE ,Ross Perot,40.7%,483109,39198755,Northeast,3,-11.7,0.5,10,,Connecticut,,Connecticut,D,1392614,96277223,-52.8,D,1996
DC,Hex,3,0,% shift to the left,Ross Perot:	,,ü,Bill Clinton,E,,Left,0,,85.2,0.600000000,-34399,3,379,BILL CLINTON,Robert Dole ,49.2%,158220,47402357,12,5,1.9,,,● ,),%), (,ROSS PEROT,8.4%,3611,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-75.5,D,-84.6,1,-80,-75.9,9.3,0.200000000,-3359,,159,ROBERT DOLE ,Ross Perot,40.7%,17339,39198755,Northeast,4,-0.4,0.5,10,,Dist. of Col.,,Dist. of Col.,D,185726,96277223,-85.2,D,1996
DE,Hex,3,7,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,51.8,8.3,14301,3,379,BILL CLINTON,Robert Dole ,49.2%,140355,47402357,9.5,4,10.6,,,● ,),%), (,ROSS PEROT,8.4%,28719,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-8.2,D,-43.5,1,-20,-15.2,36.6,1.3,-3251,,159,ROBERT DOLE ,Ross Perot,40.7%,99062,39198755,Northeast,5,-7.0,0.5,9,,Delaware,,Delaware,D,270845,96277223,-51.8,D,1996
KY,Hex,8,2,% shift to the right,Ross Perot:	,,ü,Bill Clinton,A,,Right,0,,45.8,1.2,-28490,8,379,BILL CLINTON,Robert Dole ,49.2%,636614,47402357,6.5,4,8.7,,,● ,),%), (,ROSS PEROT,8.4%,120396,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-3.3,D,-44.6,1,-5,-0.900000000,44.9,3.6,6105,,159,ROBERT DOLE ,Ross Perot,40.7%,623283,39198755,South,4,2.4,-0.5,6,,Kentucky,,Kentucky,D,1388708,96277223,-45.8,D,1996
WV,Hex,5,2,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,51.5,3.1,-3189,5,379,BILL CLINTON,Robert Dole ,49.2%,327812,47402357,7.5,4,11.3,,,● ,),%), (,ROSS PEROT,8.4%,71639,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-13,D,-48.4,1,-15,-14.7,36.8,1.4,-8028,,159,ROBERT DOLE ,Ross Perot,40.7%,233946,39198755,South,4,-1.7,0.5,7,,West Virginia,,West Virginia,D,636459,96277223,-51.5,D,1996
MD,Hex,10,2,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,54.3,4.5,-22364,10,379,BILL CLINTON,Robert Dole ,49.2%,966207,47402357,8.5,4,6.5,,,● ,),%), (,ROSS PEROT,8.4%,115812,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-14.2,D,-49.8,1,-20,-16,38.3,2.7,-25564,,159,ROBERT DOLE ,Ross Perot,40.7%,681530,39198755,South,4,-1.8,0.5,9,,Maryland,,Maryland,D,1780870,96277223,-54.3,D,1996
AR,Hex,6,1,% shift to the right,Ross Perot:	,,ü,Bill Clinton,B,,Right,0,,53.7,0.5,-30652,6,379,BILL CLINTON,Robert Dole ,49.2%,475171,47402357,6,5,7.9,,,● ,),%), (,ROSS PEROT,8.4%,69884,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-17.7,D,-53.2,1,-20,-16.9,36.8,1.3,-11908,,159,ROBERT DOLE ,Ross Perot,40.7%,325416,39198755,South,5,0.8,-0.5,5,,Arkansas,,Arkansas,D,884262,96277223,-53.7,D,1996
TN,Hex,11,2,% shift to the right,Ross Perot:	,,ü,Bill Clinton,A,,Right,0,,48.0,0.900000000,-24375,11,379,BILL CLINTON,Robert Dole ,49.2%,909146,47402357,7,5,5.6,,,● ,),%), (,ROSS PEROT,8.4%,105918,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-4.7,D,-47.1,1,-5,-2.4,45.6,3.2,22230,,159,ROBERT DOLE ,Ross Perot,40.7%,863530,39198755,South,5,2.3,-0.5,6,,Tennessee,,Tennessee,D,1894105,96277223,-48,D,1996
LA,Hex,9,8,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,52.0,6.4,111866,9,379,BILL CLINTON,Robert Dole ,49.2%,927837,47402357,5.5,6,6.9,,,● ,),%), (,ROSS PEROT,8.4%,123293,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-4.6,D,-45.6,1,-15,-12.1,39.9,-1.1,-20800,,159,ROBERT DOLE ,Ross Perot,40.7%,712586,39198755,South,6,-7.5,0.5,5,,Louisiana,,Louisiana,D,1783959,96277223,-52,D,1996
FL,Hex,25,8,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,48.0,9,474172,25,379,BILL CLINTON,Robert Dole ,49.2%,2546870,47402357,8.5,8,9.1,,,● ,),%), (,ROSS PEROT,8.4%,483870,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",1.9,R,40.9,1,-10,-5.7,42.3,1.4,71226,,159,ROBERT DOLE ,Ross Perot,40.7%,2244536,39198755,South,7,-7.6,0.5,9,,Florida,,Florida,D,5303794,96277223,-48,D,1996
